feedback_id,event_id,student_id,rating,feedback_text,sentiment
FB00030,E080,S0013,2,"Overall, The session was satisfactory.",NEUTRAL
FB00031,E050,S0151,5,"Overall, I really enjoyed this event and learned a lot.",POSITIVE
FB00032,E090,S0279,5,"In my opinion, Excellent organization and a knowledgeable speaker.",POSITIVE
FB00033,E037,S0069,5,The event was very helpful for my studies.,POSITIVE
FB00034,E038,S0426,4,"From my experience, Great event with practical examples.",POSITIVE
FB00035,E057,S0196,5,"From my experience, The session was well organized and useful.",POSITIVE
FB00036,E022,S0182,4,"Overall, The session was well organized and useful.",POSITIVE
FB00037,E008,S0387,4,"From my experience, The event was very helpful for my studies.",POSITIVE
FB00038,E040,S0004,1,The organization was poor.,NEGATIVE
FB00039,E094,S0090,1,"From my experience, The event started very late.",NEGATIVE
FB00040,E028,S0148,2,"Overall, The event was neither good nor bad.",NEUTRAL
FB00041,E014,S0392,2,"From my experience, The content was as expected.",NEUTRAL
FB00042,E049,S0162,5,Great event with practical examples.,POSITIVE
FB00043,E064,S0073,5,The content was interesting and engaging.,POSITIVE
FB00044,E023,S0261,4,"From my experience, Great event with practical examples.",POSITIVE
FB00045,E070,S0031,1,"For this event, The venue was uncomfortable and crowded.",NEGATIVE
FB00046,E067,S0175,4,"In my opinion, The speaker explained the concepts clearly.",POSITIVE
FB00047,E065,S0483,5,The session was well organized and useful.,POSITIVE
FB00048,E093,S0228,1,The session was not useful.,NEGATIVE
FB00049,E017,S0376,3,"Overall, The event was conducted normally.",NEUTRAL
FB00050,E051,S0374,2,"For this event, The workshop covered the expected topics.",NEUTRAL
FB00051,E046,S0044,5,"Overall, The content was interesting and engaging.",POSITIVE
FB00052,E038,S0292,2,"Overall, The venue was uncomfortable and crowded.",NEGATIVE
FB00053,E063,S0197,2,"Overall, The workshop covered the expected topics.",NEUTRAL
FB00054,E034,S0075,3,"For this event, The session was average.",NEUTRAL
FB00055,E070,S0151,4,"Overall, Excellent organization and a knowledgeable speaker.",POSITIVE
FB00056,E011,S0492,4,"From my experience, The workshop was excellent and very informative.",POSITIVE
FB00057,E056,S0368,4,The session was well organized and useful.,POSITIVE
FB00058,E019,S0439,3,"In my opinion, The event was neither good nor bad.",NEUTRAL
FB00059,E067,S0342,1,"In my opinion, There were problems with the arrangements.",NEGATIVE
FB00060,E049,S0033,2,"For this event, The session was average.",NEUTRAL
FB00061,E051,S0187,2,"For this event, The event was conducted normally.",NEUTRAL
FB00062,E013,S0158,3,"In my opinion, The session was average.",NEUTRAL
FB00063,E067,S0113,3,"From my experience, The session was average.",NEUTRAL
FB00064,E049,S0497,2,The content was as expected.,NEUTRAL
FB00065,E097,S0244,1,"From my experience, The session was not useful.",NEGATIVE
FB00066,E009,S0165,4,"In my opinion, Excellent organization and a knowledgeable speaker.",POSITIVE
FB00067,E080,S0235,1,"In my opinion, The venue was uncomfortable and crowded.",NEGATIVE
FB00068,E059,S0330,5,The content was interesting and engaging.,POSITIVE
FB00069,E042,S0037,4,I really enjoyed this event and learned a lot.,POSITIVE
FB00070,E094,S0418,3,"For this event, The session was average.",NEUTRAL
FB00071,E012,S0190,5,"For this event, The session was well organized and useful.",POSITIVE
FB00072,E023,S0498,2,"From my experience, The event started very late.",NEGATIVE
FB00073,E036,S0025,2,"In my opinion, The content was as expected.",NEUTRAL
FB00074,E036,S0150,2,"From my experience, The session was satisfactory.",NEUTRAL
FB00075,E083,S0182,4,"For this event, The event was very helpful for my studies.",POSITIVE
FB00076,E072,S0455,3,"Overall, The content was as expected.",NEUTRAL
FB00077,E051,S0309,2,The session was satisfactory.,NEUTRAL
FB00078,E086,S0094,5,"In my opinion, Excellent organization and a knowledgeable speaker.",POSITIVE
FB00079,E099,S0384,4,"In my opinion, I really enjoyed this event and learned a lot.",POSITIVE
FB00080,E081,S0179,3,"Overall, The workshop covered the expected topics.",NEUTRAL
FB00081,E077,S0074,5,"In my opinion, The event was very helpful for my studies.",POSITIVE
FB00082,E064,S0131,2,"In my opinion, The workshop covered the expected topics.",NEUTRAL
FB00083,E056,S0081,2,"Overall, The workshop covered the expected topics.",NEUTRAL
FB00084,E031,S0420,5,"For this event, The speaker explained the concepts clearly.",POSITIVE
FB00085,E071,S0330,2,The event started very late.,NEGATIVE
FB00086,E077,S0022,2,"For this event, The speaker did not explain the topic clearly.",NEGATIVE
FB00087,E007,S0388,5,"Overall, The content was interesting and engaging.",POSITIVE
FB00088,E058,S0169,5,"From my experience, I really enjoyed this event and learned a lot.",POSITIVE
FB00089,E078,S0005,5,Excellent organization and a knowledgeable speaker.,POSITIVE
FB00090,E089,S0023,4,"From my experience, The workshop was excellent and very informative.",POSITIVE
FB00091,E080,S0299,2,"In my opinion, The workshop covered the expected topics.",NEUTRAL
FB00092,E076,S0194,1,The organization was poor.,NEGATIVE
FB00093,E047,S0384,4,"From my experience, I really enjoyed this event and learned a lot.",POSITIVE
FB00094,E051,S0334,1,"From my experience, The event was disappointing.",NEGATIVE
FB00095,E098,S0066,3,"From my experience, The event was fine.",NEUTRAL
FB00096,E015,S0439,3,"In my opinion, The workshop covered the expected topics.",NEUTRAL
FB00097,E036,S0296,5,The content was interesting and engaging.,POSITIVE
FB00098,E068,S0285,4,"For this event, The event was very helpful for my studies.",POSITIVE
FB00099,E013,S0056,5,"In my opinion, Excellent organization and a knowledgeable speaker.",POSITIVE
FB00100,E063,S0008,4,Excellent organization and a knowledgeable speaker.,POSITIVE
FB00101,E088,S0464,3,"From my experience, The workshop covered the expected topics.",NEUTRAL
FB00102,E056,S0284,3,"Overall, The content was as expected.",NEUTRAL
FB00103,E001,S0412,5,"Overall, The workshop was excellent and very informative.",POSITIVE
FB00104,E022,S0131,4,"In my opinion, I really enjoyed this event and learned a lot.",POSITIVE
FB00105,E001,S0483,4,"For this event, Excellent organization and a knowledgeable speaker.",POSITIVE
FB00106,E034,S0028,2,"For this event, The content was as expected.",NEUTRAL
FB00107,E078,S0297,1,The event started very late.,NEGATIVE
FB00108,E006,S0368,2,"Overall, The event was neither good nor bad.",NEUTRAL
FB00109,E097,S0410,1,"From my experience, The session was not useful.",NEGATIVE
FB00110,E094,S0026,4,"For this event, I really enjoyed this event and learned a lot.",POSITIVE
FB00111,E022,S0469,5,"For this event, Great event with practical examples.",POSITIVE
FB00112,E045,S0021,4,"Overall, Great event with practical examples.",POSITIVE
FB00113,E009,S0239,4,"From my experience, The session was well organized and useful.",POSITIVE
FB00114,E054,S0185,1,The speaker did not explain the topic clearly.,NEGATIVE
FB00115,E001,S0106,4,The workshop was excellent and very informative.,POSITIVE
FB00116,E029,S0053,2,The event was fine.,NEUTRAL
FB00117,E063,S0045,3,The event was neither good nor bad.,NEUTRAL
FB00118,E009,S0345,3,"Overall, The event was conducted normally.",NEUTRAL
FB00119,E087,S0400,4,The session was well organized and useful.,POSITIVE
FB00120,E085,S0106,2,"Overall, The session was not useful.",NEGATIVE
FB00121,E087,S0072,2,"For this event, The session was not useful.",NEGATIVE
FB00122,E006,S0481,5,"Overall, The speaker explained the concepts clearly.",POSITIVE
FB00123,E080,S0442,4,"In my opinion, The content was interesting and engaging.",POSITIVE
FB00124,E040,S0346,3,"In my opinion, The event was fine.",NEUTRAL
FB00125,E062,S0261,2,"For this event, The speaker did not explain the topic clearly.",NEGATIVE
FB00126,E015,S0216,2,"From my experience, The speaker did not explain the topic clearly.",NEGATIVE
FB00127,E075,S0182,5,"In my opinion, Excellent organization and a knowledgeable speaker.",POSITIVE
FB00128,E013,S0423,3,"Overall, The session was average.",NEUTRAL
FB00129,E040,S0309,1,"For this event, The event was disappointing.",NEGATIVE
FB00130,E031,S0131,4,"From my experience, The session was well organized and useful.",POSITIVE
FB00131,E070,S0433,2,"In my opinion, The session was average.",NEUTRAL
FB00132,E059,S0252,5,"From my experience, I really enjoyed this event and learned a lot.",POSITIVE
FB00133,E034,S0087,2,The workshop was okay.,NEUTRAL
FB00134,E030,S0172,1,The session was not useful.,NEGATIVE
FB00135,E045,S0235,1,The venue was too crowded.,NEGATIVE
FB00136,E049,S0297,5,"In my opinion, The speaker explained the concepts clearly.",POSITIVE
FB00137,E063,S0158,5,"From my experience, Great event with practical examples.",POSITIVE
FB00138,E076,S0074,4,"In my opinion, Great event with practical examples.",POSITIVE
FB00139,E075,S0197,5,"From my experience, I really enjoyed this event and learned a lot.",POSITIVE
FB00140,E059,S0009,3,"Overall, The event was neither good nor bad.",NEUTRAL
FB00141,E006,S0488,5,"Overall, Great event with practical examples.",POSITIVE
FB00142,E059,S0165,4,"In my opinion, The speaker explained the concepts clearly.",POSITIVE
FB00143,E010,S0106,2,"From my experience, The event started very late.",NEGATIVE
FB00144,E066,S0061,3,"Overall, The session was average.",NEUTRAL
FB00145,E039,S0164,5,"From my experience, Great event with practical examples.",POSITIVE
FB00146,E033,S0025,2,"Overall, The organization was poor.",NEGATIVE
FB00147,E054,S0429,2,"From my experience, The event was conducted normally.",NEUTRAL
FB00148,E072,S0283,4,"In my opinion, The speaker explained the concepts clearly.",POSITIVE
FB00149,E045,S0009,3,"In my opinion, The content was as expected.",NEUTRAL
FB00150,E034,S0372,1,"For this event, The session was not useful.",NEGATIVE
FB00151,E079,S0108,5,"Overall, The speaker explained the concepts clearly.",POSITIVE
FB00152,E031,S0284,1,The event was disappointing.,NEGATIVE
FB00153,E054,S0233,5,"For this event, Excellent organization and a knowledgeable speaker.",POSITIVE
FB00154,E076,S0166,4,I really enjoyed this event and learned a lot.,POSITIVE
FB00155,E098,S0365,3,"Overall, The event was neither good nor bad.",NEUTRAL
FB00156,E005,S0134,5,"In my opinion, The speaker explained the concepts clearly.",POSITIVE
FB00157,E048,S0173,3,The event was fine.,NEUTRAL
FB00158,E091,S0115,1,"In my opinion, The event was disappointing.",NEGATIVE
FB00159,E067,S0470,2,"For this event, The content was as expected.",NEUTRAL
FB00160,E081,S0431,4,"For this event, The speaker explained the concepts clearly.",POSITIVE
FB00161,E058,S0048,4,"In my opinion, The event was very helpful for my studies.",POSITIVE
FB00162,E021,S0410,2,"From my experience, The venue was too crowded.",NEGATIVE
FB00163,E005,S0430,2,"Overall, The event was neither good nor bad.",NEUTRAL
FB00164,E060,S0392,5,"From my experience, Excellent organization and a knowledgeable speaker.",POSITIVE
FB00165,E071,S0091,3,"For this event, The event was conducted normally.",NEUTRAL
FB00166,E006,S0097,1,"Overall, The speaker did not explain the topic clearly.",NEGATIVE
FB00167,E049,S0390,5,"From my experience, The content was interesting and engaging.",POSITIVE
FB00168,E031,S0231,2,The session was not useful.,NEGATIVE
FB00169,E039,S0403,1,"From my experience, The venue was too crowded.",NEGATIVE
FB00170,E082,S0437,3,"In my opinion, The workshop covered the expected topics.",NEUTRAL
FB00171,E064,S0270,1,The speaker did not explain the topic clearly.,NEGATIVE
FB00172,E025,S0141,4,"In my opinion, The event was very helpful for my studies.",POSITIVE
FB00173,E057,S0313,1,The venue was uncomfortable and crowded.,NEGATIVE
FB00174,E084,S0325,2,"For this event, The event started very late.",NEGATIVE
FB00175,E099,S0298,1,"Overall, The speaker did not explain the topic clearly.",NEGATIVE
FB00176,E011,S0454,5,Great event with practical examples.,POSITIVE
FB00177,E047,S0284,4,"For this event, The content was interesting and engaging.",POSITIVE
FB00178,E052,S0151,4,"For this event, The event was very helpful for my studies.",POSITIVE
FB00179,E019,S0023,5,"Overall, The content was interesting and engaging.",POSITIVE
FB00180,E051,S0179,4,"Overall, The event was very helpful for my studies.",POSITIVE
FB00181,E046,S0417,2,The event was fine.,NEUTRAL
FB00182,E083,S0251,4,"For this event, The workshop was excellent and very informative.",POSITIVE
FB00183,E001,S0167,4,"For this event, The speaker explained the concepts clearly.",POSITIVE
FB00184,E021,S0188,2,"Overall, The organization was poor.",NEGATIVE
FB00185,E050,S0398,5,"In my opinion, The content was interesting and engaging.",POSITIVE
FB00186,E087,S0481,1,"Overall, The event was disappointing.",NEGATIVE
FB00187,E100,S0048,4,"In my opinion, The session was well organized and useful.",POSITIVE
FB00188,E082,S0040,2,"In my opinion, The event was conducted normally.",NEUTRAL
FB00189,E072,S0320,1,"From my experience, The event started very late.",NEGATIVE
FB00190,E065,S0309,2,"In my opinion, The session was average.",NEUTRAL
FB00191,E011,S0300,4,"Overall, The event was very helpful for my studies.",POSITIVE
FB00192,E082,S0045,3,The content was as expected.,NEUTRAL
FB00193,E073,S0485,5,"For this event, The event was very helpful for my studies.",POSITIVE
FB00194,E098,S0359,3,"Overall, The workshop was okay.",NEUTRAL
FB00195,E039,S0400,5,The workshop was excellent and very informative.,POSITIVE
FB00196,E034,S0063,2,"In my opinion, The session was average.",NEUTRAL
FB00197,E097,S0371,4,"From my experience, The speaker explained the concepts clearly.",POSITIVE
FB00198,E011,S0248,3,"Overall, The workshop covered the expected topics.",NEUTRAL
FB00199,E077,S0098,4,"For this event, The session was well organized and useful.",POSITIVE
FB00200,E065,S0134,5,"In my opinion, The content was interesting and engaging.",POSITIVE
FB00201,E082,S0256,2,"From my experience, The content was as expected.",NEUTRAL
FB00202,E015,S0244,4,"From my experience, Great event with practical examples.",POSITIVE
FB00203,E093,S0325,2,"In my opinion, The session was satisfactory.",NEUTRAL
FB00204,E059,S0221,2,"Overall, The event started very late.",NEGATIVE
FB00205,E006,S0025,1,"In my opinion, The venue was uncomfortable and crowded.",NEGATIVE
FB00206,E089,S0189,2,"In my opinion, The session was satisfactory.",NEUTRAL
FB00207,E087,S0474,4,"Overall, The session was well organized and useful.",POSITIVE
FB00208,E099,S0044,3,The workshop was okay.,NEUTRAL
FB00209,E057,S0101,2,"In my opinion, The session was satisfactory.",NEUTRAL
FB00210,E094,S0184,4,"Overall, Great event with practical examples.",POSITIVE
FB00211,E084,S0201,2,"In my opinion, The venue was uncomfortable and crowded.",NEGATIVE
FB00212,E042,S0136,2,"In my opinion, The content was as expected.",NEUTRAL
FB00213,E051,S0166,5,"For this event, I really enjoyed this event and learned a lot.",POSITIVE
FB00214,E073,S0214,1,"For this event, The session was not useful.",NEGATIVE
FB00215,E083,S0313,4,"In my opinion, The event was very helpful for my studies.",POSITIVE
FB00216,E063,S0448,4,"For this event, The workshop was excellent and very informative.",POSITIVE
FB00217,E017,S0424,5,"In my opinion, The event was very helpful for my studies.",POSITIVE
FB00218,E013,S0035,4,"Overall, The speaker explained the concepts clearly.",POSITIVE
FB00219,E026,S0076,2,"In my opinion, The venue was uncomfortable and crowded.",NEGATIVE
FB00220,E059,S0165,4,"In my opinion, I really enjoyed this event and learned a lot.",POSITIVE
FB00221,E051,S0246,4,"Overall, Great event with practical examples.",POSITIVE
FB00222,E035,S0408,1,The speaker did not explain the topic clearly.,NEGATIVE
FB00223,E059,S0021,5,"In my opinion, The speaker explained the concepts clearly.",POSITIVE
FB00224,E085,S0108,2,"In my opinion, The event started very late.",NEGATIVE
FB00225,E073,S0071,1,"From my experience, The session was not useful.",NEGATIVE
FB00226,E099,S0360,5,"Overall, I really enjoyed this event and learned a lot.",POSITIVE
FB00227,E063,S0200,4,I really enjoyed this event and learned a lot.,POSITIVE
FB00228,E035,S0118,2,"In my opinion, The workshop covered the expected topics.",NEUTRAL
FB00229,E020,S0258,5,"In my opinion, The workshop was excellent and very informative.",POSITIVE
FB00230,E007,S0340,4,"Overall, The workshop was excellent and very informative.",POSITIVE
FB00231,E047,S0086,5,Excellent organization and a knowledgeable speaker.,POSITIVE
FB00232,E068,S0095,5,The session was well organized and useful.,POSITIVE
FB00233,E041,S0088,5,"From my experience, I really enjoyed this event and learned a lot.",POSITIVE
FB00234,E051,S0195,1,"Overall, The speaker did not explain the topic clearly.",NEGATIVE
FB00235,E087,S0267,2,"In my opinion, The session was not useful.",NEGATIVE
FB00236,E074,S0363,4,"For this event, The content was interesting and engaging.",POSITIVE
FB00237,E041,S0368,5,"Overall, The content was interesting and engaging.",POSITIVE
FB00238,E036,S0187,1,"From my experience, There were problems with the arrangements.",NEGATIVE
FB00239,E064,S0421,3,The session was average.,NEUTRAL
FB00240,E075,S0179,3,"From my experience, The event was neither good nor bad.",NEUTRAL
FB00241,E060,S0273,5,"In my opinion, The content was interesting and engaging.",POSITIVE
FB00242,E032,S0220,5,"In my opinion, Great event with practical examples.",POSITIVE
FB00243,E032,S0429,1,The organization was poor.,NEGATIVE
FB00244,E096,S0363,4,The speaker explained the concepts clearly.,POSITIVE
FB00245,E099,S0109,4,"In my opinion, The workshop was excellent and very informative.",POSITIVE
FB00246,E058,S0049,4,"For this event, I really enjoyed this event and learned a lot.",POSITIVE
FB00247,E055,S0157,2,The organization was poor.,NEGATIVE
FB00248,E076,S0092,5,"Overall, The event was very helpful for my studies.",POSITIVE
FB00249,E006,S0268,1,"From my experience, There were problems with the arrangements.",NEGATIVE
FB00250,E080,S0209,2,"From my experience, The venue was uncomfortable and crowded.",NEGATIVE
FB00251,E019,S0266,5,"Overall, Great event with practical examples.",POSITIVE
FB00252,E039,S0024,4,The speaker explained the concepts clearly.,POSITIVE
FB00253,E040,S0071,3,"For this event, The event was neither good nor bad.",NEUTRAL
FB00254,E036,S0019,5,"For this event, Great event with practical examples.",POSITIVE
FB00255,E009,S0366,4,"Overall, Excellent organization and a knowledgeable speaker.",POSITIVE
FB00256,E040,S0166,2,"In my opinion, There were problems with the arrangements.",NEGATIVE
FB00257,E023,S0234,2,The event was conducted normally.,NEUTRAL
FB00258,E037,S0321,2,The event was disappointing.,NEGATIVE
FB00259,E046,S0150,4,"In my opinion, The speaker explained the concepts clearly.",POSITIVE
FB00260,E024,S0337,4,"In my opinion, The event was very helpful for my studies.",POSITIVE
FB00261,E029,S0165,2,"In my opinion, The event was conducted normally.",NEUTRAL
FB00262,E056,S0357,5,"From my experience, I really enjoyed this event and learned a lot.",POSITIVE
FB00263,E084,S0178,1,"Overall, The venue was too crowded.",NEGATIVE
FB00264,E044,S0053,4,"For this event, Excellent organization and a knowledgeable speaker.",POSITIVE
FB00265,E073,S0116,5,"From my experience, I really enjoyed this event and learned a lot.",POSITIVE
FB00266,E081,S0090,4,"For this event, I really enjoyed this event and learned a lot.",POSITIVE
FB00267,E062,S0365,5,The event was very helpful for my studies.,POSITIVE
FB00268,E094,S0164,4,I really enjoyed this event and learned a lot.,POSITIVE
FB00269,E085,S0359,5,The speaker explained the concepts clearly.,POSITIVE
FB00270,E006,S0080,3,"From my experience, The event was fine.",NEUTRAL
FB00271,E010,S0008,4,The event was very helpful for my studies.,POSITIVE
FB00272,E013,S0375,5,"For this event, The speaker explained the concepts clearly.",POSITIVE
FB00273,E013,S0395,5,"For this event, The event was very helpful for my studies.",POSITIVE
FB00274,E061,S0354,4,"In my opinion, The event was very helpful for my studies.",POSITIVE
FB00275,E037,S0022,2,The content was as expected.,NEUTRAL
FB00276,E077,S0060,4,"For this event, The speaker explained the concepts clearly.",POSITIVE
FB00277,E075,S0018,3,The workshop was okay.,NEUTRAL
FB00278,E012,S0015,4,"Overall, Great event with practical examples.",POSITIVE
FB00279,E055,S0402,2,"From my experience, The session was average.",NEUTRAL
FB00280,E044,S0052,5,"Overall, The workshop was excellent and very informative.",POSITIVE
FB00281,E077,S0111,1,"In my opinion, The session was not useful.",NEGATIVE
FB00282,E082,S0481,4,"Overall, The speaker explained the concepts clearly.",POSITIVE
FB00283,E059,S0195,5,The session was well organized and useful.,POSITIVE
FB00284,E071,S0463,1,"For this event, There were problems with the arrangements.",NEGATIVE
FB00285,E013,S0081,5,"From my experience, Great event with practical examples.",POSITIVE
FB00286,E100,S0380,2,"In my opinion, The event was neither good nor bad.",NEUTRAL
FB00287,E008,S0485,2,"In my opinion, The organization was poor.",NEGATIVE
FB00288,E062,S0015,1,"From my experience, The venue was uncomfortable and crowded.",NEGATIVE
FB00289,E010,S0432,2,"For this event, The event was neither good nor bad.",NEUTRAL
FB00290,E008,S0122,1,"In my opinion, The event was disappointing.",NEGATIVE
FB00291,E038,S0146,4,"For this event, The session was well organized and useful.",POSITIVE
FB00292,E049,S0374,2,"In my opinion, The venue was too crowded.",NEGATIVE
FB00293,E009,S0284,5,"For this event, Excellent organization and a knowledgeable speaker.",POSITIVE
FB00294,E089,S0118,2,The organization was poor.,NEGATIVE
FB00295,E033,S0036,4,"In my opinion, The workshop was excellent and very informative.",POSITIVE
FB00296,E057,S0188,2,"Overall, There were problems with the arrangements.",NEGATIVE
FB00297,E063,S0276,2,"In my opinion, The event started very late.",NEGATIVE
FB00298,E049,S0426,2,"For this event, The session was not useful.",NEGATIVE
FB00299,E012,S0019,5,"From my experience, The workshop was excellent and very informative.",POSITIVE
FB00300,E018,S0236,3,"From my experience, The content was as expected.",NEUTRAL
FB00301,E086,S0265,4,"For this event, I really enjoyed this event and learned a lot.",POSITIVE
FB00302,E055,S0391,3,The content was as expected.,NEUTRAL
FB00303,E048,S0284,5,"Overall, The workshop was excellent and very informative.",POSITIVE
FB00304,E072,S0306,4,"In my opinion, Excellent organization and a knowledgeable speaker.",POSITIVE
FB00305,E001,S0332,5,"In my opinion, Excellent organization and a knowledgeable speaker.",POSITIVE
FB00306,E073,S0251,2,"For this event, The venue was too crowded.",NEGATIVE
FB00307,E004,S0402,5,"In my opinion, Excellent organization and a knowledgeable speaker.",POSITIVE
FB00308,E020,S0437,2,"For this event, The session was satisfactory.",NEUTRAL
FB00309,E074,S0494,3,"For this event, The workshop was okay.",NEUTRAL
FB00310,E076,S0362,4,"For this event, The speaker explained the concepts clearly.",POSITIVE
FB00311,E028,S0367,2,"From my experience, The session was satisfactory.",NEUTRAL
FB00312,E091,S0494,3,"In my opinion, The session was satisfactory.",NEUTRAL
FB00313,E086,S0217,5,"From my experience, I really enjoyed this event and learned a lot.",POSITIVE
FB00314,E034,S0208,5,"For this event, The speaker explained the concepts clearly.",POSITIVE
FB00315,E092,S0415,5,"For this event, I really enjoyed this event and learned a lot.",POSITIVE
FB00316,E043,S0167,1,"For this event, The session was not useful.",NEGATIVE
FB00317,E012,S0121,2,"In my opinion, The content was as expected.",NEUTRAL
FB00318,E063,S0373,1,"From my experience, The speaker did not explain the topic clearly.",NEGATIVE
FB00319,E077,S0345,2,"In my opinion, The session was average.",NEUTRAL
FB00320,E096,S0136,2,"Overall, The session was satisfactory.",NEUTRAL
FB00321,E094,S0483,5,"Overall, Excellent organization and a knowledgeable speaker.",POSITIVE
FB00322,E030,S0469,4,"Overall, The event was very helpful for my studies.",POSITIVE
FB00323,E022,S0013,2,"Overall, The event started very late.",NEGATIVE
FB00324,E099,S0213,5,"For this event, The event was very helpful for my studies.",POSITIVE
FB00325,E037,S0305,5,"From my experience, The session was well organized and useful.",POSITIVE
FB00326,E035,S0342,4,The content was interesting and engaging.,POSITIVE
FB00327,E044,S0104,4,The session was well organized and useful.,POSITIVE
FB00328,E052,S0454,2,"Overall, The organization was poor.",NEGATIVE
FB00329,E061,S0493,4,"From my experience, I really enjoyed this event and learned a lot.",POSITIVE
FB00330,E083,S0174,2,"In my opinion, The event was disappointing.",NEGATIVE
FB00331,E077,S0303,3,"In my opinion, The workshop was okay.",NEUTRAL
FB00332,E081,S0021,1,"Overall, The venue was uncomfortable and crowded.",NEGATIVE
FB00333,E067,S0326,3,"Overall, The content was as expected.",NEUTRAL
FB00334,E020,S0425,2,"In my opinion, The event was disappointing.",NEGATIVE
FB00335,E065,S0171,5,The workshop was excellent and very informative.,POSITIVE
FB00336,E090,S0282,5,Great event with practical examples.,POSITIVE
FB00337,E027,S0261,5,"For this event, The session was well organized and useful.",POSITIVE
FB00338,E041,S0039,2,The speaker did not explain the topic clearly.,NEGATIVE
FB00339,E066,S0033,5,"In my opinion, The event was very helpful for my studies.",POSITIVE
FB00340,E087,S0296,5,"Overall, Excellent organization and a knowledgeable speaker.",POSITIVE
FB00341,E082,S0148,2,"In my opinion, The session was not useful.",NEGATIVE
FB00342,E063,S0163,1,"In my opinion, There were problems with the arrangements.",NEGATIVE
FB00343,E019,S0429,5,"For this event, I really enjoyed this event and learned a lot.",POSITIVE
FB00344,E022,S0285,3,The workshop was okay.,NEUTRAL
FB00345,E061,S0302,4,The workshop was excellent and very informative.,POSITIVE
FB00346,E069,S0061,5,"In my opinion, I really enjoyed this event and learned a lot.",POSITIVE
FB00347,E023,S0068,5,"For this event, The session was well organized and useful.",POSITIVE
FB00348,E044,S0180,4,"In my opinion, The event was very helpful for my studies.",POSITIVE
FB00349,E095,S0431,2,"From my experience, The venue was too crowded.",NEGATIVE
FB00350,E079,S0047,2,"From my experience, The speaker did not explain the topic clearly.",NEGATIVE
FB00351,E028,S0103,3,The event was neither good nor bad.,NEUTRAL
FB00352,E025,S0390,2,"In my opinion, The event was disappointing.",NEGATIVE
FB00353,E094,S0310,4,The event was very helpful for my studies.,POSITIVE
FB00354,E048,S0176,5,"From my experience, Excellent organization and a knowledgeable speaker.",POSITIVE
FB00355,E069,S0491,4,"From my experience, Excellent organization and a knowledgeable speaker.",POSITIVE
FB00356,E012,S0450,5,"In my opinion, The workshop was excellent and very informative.",POSITIVE
FB00357,E026,S0204,4,"For this event, The content was interesting and engaging.",POSITIVE
FB00358,E055,S0077,5,Great event with practical examples.,POSITIVE
FB00359,E040,S0471,3,"In my opinion, The workshop covered the expected topics.",NEUTRAL
FB00360,E026,S0055,4,"From my experience, The event was very helpful for my studies.",POSITIVE
FB00361,E100,S0409,2,The workshop covered the expected topics.,NEUTRAL
FB00362,E072,S0293,5,"Overall, The content was interesting and engaging.",POSITIVE
FB00363,E088,S0133,3,The session was satisfactory.,NEUTRAL
FB00364,E017,S0475,5,"For this event, Great event with practical examples.",POSITIVE
FB00365,E057,S0362,5,"In my opinion, The session was well organized and useful.",POSITIVE
