student_id,total_registrations,total_attendance,attendance_rate,technical_events,cultural_events,sports_events,workshop_events,hackathon_events,seminar_events,event_views,event_likes,cancellations,average_feedback_rating
S0170,9,6,0.667,1,2,3,1,0,2,19,7,2,3.37
S0171,7,7,1.0,3,2,1,0,0,1,37,10,0,4.03
S0172,8,8,1.0,0,3,1,1,0,3,21,3,0,3.26
S0173,4,2,0.5,2,1,0,0,0,1,10,5,3,3.96
S0174,22,21,0.955,6,3,2,5,4,2,67,24,0,4.96
S0175,4,2,0.5,2,1,0,1,0,0,9,0,1,2.56
S0176,10,6,0.6,1,2,0,4,1,2,25,14,0,3.26
S0177,7,4,0.571,4,1,0,0,2,0,39,6,0,3.46
S0178,23,21,0.913,9,1,0,3,6,4,50,22,0,4.97
S0179,14,8,0.571,5,3,1,2,2,1,38,15,0,3.37
S0180,10,8,0.8,4,3,1,0,0,2,33,5,0,3.93
S0181,13,11,0.846,4,3,0,3,2,1,14,5,4,3.33
S0182,7,6,0.857,3,0,1,2,1,0,22,11,0,3.21
S0183,8,5,0.625,2,2,2,2,0,0,15,10,0,3.36
S0184,5,5,1.0,0,2,1,2,0,0,7,4,0,2.75
S0185,8,8,1.0,3,2,1,1,1,0,25,12,1,3.93
S0186,8,8,1.0,4,1,0,2,0,1,22,14,1,4.12
S0187,7,6,0.857,3,0,0,2,1,1,26,13,1,4.2
S0188,4,3,0.75,0,1,0,0,2,1,9,1,1,2.78
S0189,6,3,0.5,1,1,1,2,0,1,28,7,0,4.31
S0190,18,18,1.0,8,0,0,3,5,2,33,16,2,4.89
S0191,9,7,0.778,2,1,1,1,1,3,13,7,0,3.27
S0192,11,9,0.818,5,0,2,2,0,2,34,15,0,3.4
S0193,12,11,0.917,2,4,1,1,2,2,24,4,1,3.91
S0194,10,5,0.5,3,1,4,1,0,1,27,7,1,3.46
S0195,2,1,0.5,0,2,0,0,0,0,15,1,0,3.53
S0196,4,2,0.5,0,3,0,0,0,1,9,5,1,3.42
S0197,2,1,0.5,1,0,0,1,0,0,3,4,1,2.94
S0198,6,6,1.0,3,1,0,0,2,0,16,7,0,3.63
S0199,25,20,0.8,9,0,1,6,5,4,69,35,2,4.47
S0200,12,9,0.75,7,0,1,3,1,0,34,13,1,4.21
S0201,10,9,0.9,3,1,2,2,2,0,18,10,1,3.78
S0202,1,1,1.0,0,1,0,0,0,0,7,4,0,3.73
S0203,17,14,0.824,5,4,1,4,2,1,41,20,1,4.96
S0204,29,26,0.897,11,4,0,8,4,2,56,14,1,4.43
S0205,18,14,0.778,9,1,0,3,1,4,35,28,1,4.99
S0206,28,27,0.964,9,4,2,4,4,5,50,33,0,4.66
S0207,11,8,0.727,1,3,0,4,0,3,21,13,2,3.53
S0208,11,7,0.636,4,2,1,3,0,1,37,3,2,3.56
S0209,5,3,0.6,2,0,2,1,0,0,4,5,2,2.85
S0210,25,22,0.88,11,1,1,9,3,0,56,11,1,4.35
S0211,14,11,0.786,5,5,2,1,1,0,23,12,3,3.37
S0212,28,24,0.857,7,0,1,6,7,7,48,24,1,4.06
S0213,10,9,0.9,5,2,1,0,0,2,36,11,0,4.37
S0214,5,2,0.4,2,1,0,2,0,0,14,3,1,3.99
S0215,6,4,0.667,0,3,0,1,0,2,18,15,0,4.33
S0216,28,24,0.857,10,2,2,8,4,2,70,28,2,4.33
S0217,9,7,0.778,3,2,1,1,0,2,22,5,1,4.44
S0218,6,6,1.0,2,1,1,1,0,1,15,12,1,3.51
S0219,9,8,0.889,2,0,0,4,2,1,22,15,0,3.21
S0220,15,13,0.867,5,1,1,4,3,1,39,11,1,3.31
S0221,8,6,0.75,2,3,1,1,0,1,40,15,0,3.75
S0222,21,16,0.762,8,2,0,7,3,1,34,17,2,3.8
S0223,6,5,0.833,3,0,0,2,1,0,27,7,0,3.74
S0224,14,10,0.714,3,1,1,6,1,2,28,13,1,3.85
S0225,11,7,0.636,4,1,0,3,2,1,39,10,2,4.1
S0226,29,27,0.931,11,2,2,5,5,4,52,33,1,4.81
S0227,7,6,0.857,1,3,0,2,0,1,12,14,1,4.19
S0228,13,11,0.846,6,1,0,5,1,0,33,14,1,3.39
S0229,6,6,1.0,5,0,0,1,0,0,14,10,0,3.48
S0230,13,7,0.538,3,4,1,3,0,2,12,13,0,3.33
S0231,5,4,0.8,0,3,1,1,0,0,5,1,0,3.93
S0232,27,24,0.889,15,1,1,3,4,3,46,22,3,4.73
S0233,17,16,0.941,5,1,3,4,2,2,61,22,0,3.87
S0234,13,4,0.308,9,2,1,0,1,0,22,4,1,3.72
S0235,5,4,0.8,0,2,1,1,0,1,5,0,1,3.86
S0236,3,2,0.667,0,3,0,0,0,0,5,0,1,3.2
S0237,24,18,0.75,7,1,1,8,4,3,73,29,2,4.51
S0238,14,12,0.857,4,3,2,2,1,2,26,5,2,3.79
S0239,22,18,0.818,4,3,1,7,3,4,46,26,2,4.87
S0240,30,26,0.867,7,2,2,11,5,3,51,31,2,4.63
S0241,1,0,0.0,0,0,0,0,0,1,3,2,0,3.99
S0242,5,2,0.4,2,1,0,1,0,1,5,3,1,3.65
S0243,11,9,0.818,4,0,0,2,2,3,17,5,1,3.95
S0244,2,1,0.5,1,0,1,0,0,0,6,3,0,3.57
S0245,12,7,0.583,4,1,2,0,2,3,39,9,2,3.62
S0246,14,10,0.714,4,4,1,2,1,2,40,3,2,4.33
S0247,9,8,0.889,5,1,0,2,1,0,24,8,1,3.36
S0248,29,28,0.966,10,0,1,10,6,2,41,26,1,3.8
S0249,23,21,0.913,10,0,2,7,2,2,73,34,0,4.92
S0250,17,16,0.941,3,2,1,5,3,3,78,15,0,4.96
S0251,15,13,0.867,4,1,3,1,2,4,30,7,2,3.44
S0252,8,6,0.75,2,1,1,3,0,1,19,3,0,4.44
S0253,12,8,0.667,3,3,1,1,1,3,27,7,2,4.31
S0254,7,6,0.857,5,0,1,1,0,0,17,9,0,4.16
S0255,10,9,0.9,3,1,2,4,0,0,12,15,0,3.34
S0256,13,9,0.692,5,1,3,3,1,0,26,6,3,3.24
S0257,24,22,0.917,10,1,4,2,6,1,67,10,0,4.73
S0258,14,13,0.929,6,2,1,3,0,2,15,9,0,3.58
S0259,9,7,0.778,4,2,1,1,0,1,13,5,0,4.37
S0260,1,0,0.0,0,0,1,0,0,0,2,3,0,2.59
S0261,4,2,0.5,1,1,2,0,0,0,15,3,1,2.81
S0262,25,22,0.88,8,2,1,6,2,6,40,22,2,4.56
S0263,14,9,0.643,4,1,0,5,1,3,18,4,2,4.41
S0264,15,11,0.733,5,2,2,5,0,1,14,8,0,4.25
S0265,6,6,1.0,2,0,1,2,0,1,20,15,0,3.71
S0266,28,25,0.893,6,3,5,5,3,6,40,14,1,4.51
S0267,16,14,0.875,5,2,2,3,3,1,72,30,2,4.96
S0268,6,6,1.0,0,0,1,1,1,3,33,4,1,3.85
S0269,13,9,0.692,3,1,2,2,0,5,17,4,1,4.25
S0270,20,18,0.9,8,1,1,6,1,3,56,11,4,3.85
S0271,25,23,0.92,9,1,3,8,1,3,46,27,4,4.26
S0272,21,19,0.905,5,3,1,8,2,2,40,18,0,3.84
S0273,8,7,0.875,2,3,1,1,1,0,21,12,1,3.39
S0274,18,16,0.889,8,0,0,2,2,6,74,17,0,4.2
S0275,8,8,1.0,4,1,1,1,0,1,36,10,0,4.14
S0276,4,3,0.75,1,0,1,1,0,1,5,5,1,3.3
S0277,5,4,0.8,0,3,1,0,1,0,3,2,0,2.79
S0278,10,7,0.7,5,2,2,0,0,1,36,5,0,3.68
S0279,6,5,0.833,3,1,2,0,0,0,32,12,1,3.42
S0280,1,1,1.0,0,1,0,0,0,0,4,0,0,3.34
S0281,1,0,0.0,0,1,0,0,0,0,8,1,0,3.57
S0282,12,8,0.667,2,1,3,4,0,2,34,3,0,3.27
S0283,12,9,0.75,3,4,0,2,0,3,26,5,1,3.86
S0284,6,3,0.5,3,1,2,0,0,0,38,9,0,4.12
S0285,1,1,1.0,1,0,0,0,0,0,6,4,1,3.57
S0286,3,1,0.333,1,1,0,0,1,0,4,3,1,2.97
S0287,21,17,0.81,7,1,1,5,3,4,47,29,1,3.86
S0288,14,9,0.643,2,2,3,5,0,2,14,8,0,3.66
S0289,6,4,0.667,2,1,0,2,0,1,31,9,1,3.46
S0290,14,14,1.0,5,5,1,2,0,1,39,15,3,3.33
S0291,1,1,1.0,0,0,1,0,0,0,11,2,0,3.22
S0292,25,22,0.88,6,2,2,8,4,3,56,24,3,4.16
S0293,3,2,0.667,1,1,0,0,0,1,11,1,0,3.51
S0294,1,1,1.0,0,0,1,0,0,0,15,2,0,3.82
S0295,6,6,1.0,4,0,1,1,0,0,13,9,0,3.79
S0296,11,10,0.909,5,3,0,2,0,1,27,13,1,3.32
S0297,15,7,0.467,6,1,2,2,0,4,37,3,1,4.07
S0298,30,28,0.933,9,2,1,9,4,5,75,14,0,4.89
S0299,12,8,0.667,5,1,1,3,2,0,15,5,1,3.57
S0300,15,12,0.8,7,4,2,2,0,0,38,8,2,3.63
S0301,7,5,0.714,2,1,2,2,0,0,20,13,1,3.76
S0302,20,17,0.85,7,0,1,5,3,4,42,13,1,4.29
S0303,1,1,1.0,0,1,0,0,0,0,6,4,0,2.61
S0304,27,23,0.852,13,1,2,4,3,4,48,12,2,3.81
S0305,1,0,0.0,0,1,0,0,0,0,14,4,0,3.03
S0306,19,15,0.789,7,2,2,3,3,2,35,28,2,4.22
S0307,11,9,0.818,3,2,1,2,2,1,24,7,1,4.14
S0308,7,6,0.857,3,2,0,1,0,1,31,3,0,3.74
S0309,2,1,0.5,1,0,1,0,0,0,14,5,0,3.0
S0310,6,5,0.833,1,1,1,1,1,1,28,5,1,4.11
S0311,6,5,0.833,2,0,1,1,1,1,38,15,0,4.47
S0312,15,15,1.0,5,1,1,3,5,0,46,20,0,4.37
S0313,13,9,0.692,2,2,2,3,2,2,38,11,2,3.46
S0314,8,8,1.0,1,0,3,2,1,1,23,11,1,4.37
S0315,26,23,0.885,15,0,3,1,4,3,78,22,1,4.42
S0316,3,1,0.333,0,2,0,1,0,0,4,2,0,2.57
S0317,23,23,1.0,10,1,2,6,1,3,63,33,1,3.88
S0318,6,6,1.0,1,2,1,0,1,1,28,14,1,3.42
S0319,15,10,0.667,5,3,1,4,0,2,14,7,1,3.4
S0320,3,1,0.333,1,1,0,0,0,1,14,3,1,3.62
S0321,15,14,0.933,6,0,0,3,2,4,67,34,0,4.93
S0322,4,1,0.25,1,0,0,2,0,1,10,4,1,3.67
S0323,6,5,0.833,3,1,1,0,0,1,31,8,0,4.36
S0324,5,3,0.6,2,2,1,0,0,0,13,5,0,3.62
S0325,26,24,0.923,9,1,1,10,1,4,60,19,0,4.36
S0326,20,18,0.9,8,1,2,2,2,5,77,30,0,3.82
S0327,8,4,0.5,1,2,2,1,0,2,14,7,0,3.71
S0328,8,5,0.625,1,5,2,0,0,0,20,4,0,3.89
S0329,6,5,0.833,3,0,1,2,0,0,15,11,0,4.43
S0330,26,24,0.923,7,2,2,5,4,6,70,34,1,4.13
S0331,6,4,0.667,2,1,1,0,2,0,23,4,0,4.21
S0332,13,8,0.615,5,0,3,4,0,1,22,15,1,4.28
S0333,13,11,0.846,5,1,3,1,0,3,26,6,2,4.35
S0334,13,8,0.615,5,2,2,0,2,2,18,5,0,3.48
S0335,4,4,1.0,2,0,1,0,0,1,7,3,1,3.78
S0336,4,4,1.0,1,3,0,0,0,0,8,1,0,3.16
S0337,4,3,0.75,0,1,1,1,1,0,8,2,0,2.95
S0338,5,4,0.8,0,1,2,1,0,1,4,1,0,3.8
S0339,19,17,0.895,1,1,4,6,1,6,39,17,0,4.17
S0340,12,11,0.917,4,2,2,1,1,2,33,4,1,4.14
S0341,12,9,0.75,4,3,1,2,1,1,18,10,1,3.45
S0342,8,5,0.625,3,2,2,0,0,1,25,9,1,3.74
S0343,15,10,0.667,6,1,1,2,1,4,31,6,3,4.41
S0344,17,16,0.941,10,1,0,2,1,3,63,25,0,4.91
S0345,6,4,0.667,1,0,2,2,0,1,38,7,0,4.07
S0346,2,1,0.5,0,1,0,0,1,0,4,3,1,2.73
S0347,3,2,0.667,1,0,1,0,0,1,11,4,0,3.2
S0348,30,28,0.933,8,2,2,9,2,7,75,27,0,3.84
S0349,10,10,1.0,7,1,1,1,0,0,29,3,2,4.41
S0350,6,4,0.667,2,1,0,3,0,0,34,11,0,4.4
S0351,6,6,1.0,4,0,0,1,0,1,35,15,1,4.29
S0352,1,1,1.0,0,1,0,0,0,0,11,0,0,2.94
S0353,11,8,0.727,5,2,0,3,1,0,15,14,2,4.43
S0354,1,0,0.0,0,0,0,0,0,1,7,3,1,2.97
S0355,29,22,0.759,8,1,3,7,6,4,53,25,1,4.04
S0356,7,6,0.857,3,1,2,0,1,0,33,8,1,4.18
S0357,3,3,1.0,1,2,0,0,0,0,5,3,0,3.1
S0358,21,20,0.952,11,1,2,4,2,1,77,10,1,4.68
S0359,9,8,0.889,3,0,0,3,2,1,24,12,0,3.97
S0360,12,9,0.75,4,3,1,2,0,2,27,7,2,3.94
S0361,27,23,0.852,15,0,0,6,2,4,74,30,1,3.94
S0362,3,2,0.667,1,0,1,1,0,0,12,1,1,3.62
S0363,2,1,0.5,1,0,0,1,0,0,15,1,0,2.58
S0364,15,12,0.8,6,1,0,4,1,3,30,3,0,4.36
S0365,30,27,0.9,13,3,1,6,4,3,35,12,0,4.26
S0366,20,17,0.85,7,1,0,6,1,5,78,32,1,3.84
S0367,12,10,0.833,5,2,0,2,3,0,32,5,2,3.26
S0368,5,3,0.6,1,2,1,0,0,1,7,2,2,3.17
S0369,13,12,0.923,6,2,0,2,2,1,37,6,1,3.42
S0370,27,23,0.852,8,1,0,7,8,3,36,33,1,4.26
S0371,12,9,0.75,6,1,0,2,1,2,20,15,1,3.21
S0372,13,10,0.769,6,2,2,1,1,1,18,7,2,3.48
S0373,6,4,0.667,1,1,1,2,1,0,14,8,1,3.77
S0374,26,23,0.885,7,2,1,6,5,5,62,27,0,4.93
S0375,7,7,1.0,3,0,2,2,0,0,25,11,1,4.14
S0376,2,2,1.0,0,0,0,1,0,1,11,2,1,3.92
S0377,25,25,1.0,9,0,3,5,6,2,78,28,1,3.83
S0378,9,4,0.444,2,3,1,1,0,2,11,12,0,4.12
S0379,6,6,1.0,0,0,0,3,1,2,26,10,0,3.31
S0380,15,11,0.733,5,3,2,3,0,2,29,14,2,4.15
S0381,12,11,0.917,3,3,0,5,0,1,29,11,0,3.67
S0382,11,10,0.909,2,2,1,2,3,1,31,6,2,3.59
S0383,9,9,1.0,1,0,5,3,0,0,14,6,1,3.9
S0384,12,11,0.917,3,2,2,3,1,1,19,5,1,4.33
S0385,6,5,0.833,3,1,1,1,0,0,25,9,2,4.1
S0386,29,26,0.897,12,2,2,3,6,4,40,10,1,4.74
S0387,3,1,0.333,1,1,0,0,0,1,12,2,1,3.39
S0388,15,11,0.733,3,1,1,5,3,2,17,3,1,4.17
S0389,1,0,0.0,0,0,0,0,0,1,10,0,1,3.0
S0390,6,4,0.667,3,0,1,1,0,1,13,10,0,4.02
S0391,5,5,1.0,2,1,0,1,0,1,14,4,1,3.01
S0392,9,7,0.778,2,0,1,4,1,1,10,15,1,4.43
S0393,12,12,1.0,4,1,0,5,1,1,15,14,0,4.06
S0394,16,15,0.938,4,3,0,3,3,3,56,29,1,4.15
S0395,5,1,0.2,1,1,1,1,0,1,3,4,1,2.63
S0396,4,3,0.75,2,2,0,0,0,0,11,5,0,3.3
S0397,6,5,0.833,2,0,0,2,0,2,30,3,0,4.07
S0398,9,6,0.667,4,1,0,4,0,0,18,9,2,3.85
S0399,9,7,0.778,3,1,1,3,0,1,22,8,0,3.49
S0400,13,12,0.923,3,3,3,4,0,0,16,5,1,3.91
S0401,11,10,0.909,5,2,1,2,1,0,15,3,1,4.37
S0402,14,10,0.714,1,2,1,4,3,3,15,14,1,4.38
S0403,11,8,0.727,6,0,0,2,3,0,26,9,1,3.74
S0404,11,9,0.818,3,0,0,2,4,2,10,6,0,3.28
S0405,14,11,0.786,5,0,3,1,2,3,19,13,1,3.77
S0406,23,22,0.957,7,0,1,5,4,6,36,25,1,4.28
S0407,2,2,1.0,0,0,0,1,1,0,7,5,0,2.65
